iid,gender,pid,match,age,race,imprace,imprelig,from,Income,date,go_out,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,QUE BUSCA ,Attractive1,Sincere1,Intelligent1,Fun1,Ambitious1,Has shared interests/hobbies1,QUE PIENSA DE SI MISMO,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,Matches no/si efectivos,no,yes,Si saldrian con ellos otravez,no,yes,Rating que obtuvieron de sus dates,Ambitious,Attractive,Fun,Intelligent,Shared Interests/Hobbies,Sincere,like,prob
414,1,379,0,29,2,2,10,New Jersey,55080.00,1,1,business,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,QUE BUSCA ,95,1,1,1,1,1,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,10,8,Si saldrian con ellos otravez,10,8,Rating que obtuvieron de sus dates,7.823529412,6.470588235,6.058823529,7.8125,4.928571429,7.470588235,5.764705882,4.529411765
415,1,379,0,31,2,3,1,"Atlanta, GA",52318.00,4,2,Trader,1,1,6,6,7,5,1,1,3,10,1,6,6,3,7,1,1,QUE BUSCA ,10,20,40,10,10,10,QUE PIENSA DE SI MISMO,7,9,10,5,5,Matches no/si efectivos,17,1,Si saldrian con ellos otravez,17,1,Rating que obtuvieron de sus dates,5.1875,3.9375,3.875,4.875,2.25,4.5625,2.9375,4.266666667
416,0,422,1,25,3,3,3,Miami,62844.00,4,1,Clinical Psychologist,4,1,8,8,7,6,6,1,8,7,8,5,7,5,10,4,3,QUE BUSCA ,15,20,30,20,5,10,QUE PIENSA DE SI MISMO,6,7,8,8,7,Matches no/si efectivos,2,6,Si saldrian con ellos otravez,1,7,Rating que obtuvieron de sus dates,7.5,7.25,7.625,7.625,6.857142857,7.625,7.625,6.625
417,0,422,1,29,2,1,1,Greece/Germany,0.00,5,3,Clinical Psychologist,6,1,4,5,8,8,8,3,5,7,2,6,7,7,6,3,8,QUE BUSCA ,20,20,20,10,10,20,QUE PIENSA DE SI MISMO,7,9,8,4,9,Matches no/si efectivos,7,1,Si saldrian con ellos otravez,7,1,Rating que obtuvieron de sus dates,6.375,5.25,6,7.375,5.857142857,8,6.125,6.25
418,0,422,0,25,4,7,3,New York,52586.00,7,2,Lawyer,2,2,5,9,7,8,6,5,6,10,8,8,10,7,9,7,7,QUE BUSCA ,15,25,20,15,10,15,QUE PIENSA DE SI MISMO,7,8,8,7,5,Matches no/si efectivos,8,1,Si saldrian con ellos otravez,3,5,Rating que obtuvieron de sus dates,7.285714286,6.75,7.25,8.125,6.142857143,7.875,7.5625,6.1875
419,0,422,1,28,2,0,1,Colorado,29236.00,2,1,Social Work Policy,6,2,5,8,5,6,5,2,9,9,8,9,9,6,6,4,7,QUE BUSCA ,5,30,20,10,5,30,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,7,1,Si saldrian con ellos otravez,7,1,Rating que obtuvieron de sus dates,7.428571429,6.285714286,6.285714286,8.142857143,6.714285714,8.285714286,6,5.428571429
420,0,422,1,22,2,1,1,Indiana,31486.00,4,2,Social Worker,8,4,5,10,8,8,7,4,3,9,7,8,7,4,5,6,4,QUE BUSCA ,10,10,40,10,15,15,QUE PIENSA DE SI MISMO,8,9,10,8,9,Matches no/si efectivos,6,2,Si saldrian con ellos otravez,1,7,Rating que obtuvieron de sus dates,7.125,7.5,7.75,7.875,6.625,7.625,7.3125,6.5
421,0,422,0,25,4,5,5,California,78704.00,4,3,Social Worker,1,1,1,8,5,5,1,5,5,5,8,10,10,5,10,10,5,QUE BUSCA ,20,10,30,20,10,10,QUE PIENSA DE SI MISMO,7,8,6,6,6,Matches no/si efectivos,6,2,Si saldrian con ellos otravez,4,4,Rating que obtuvieron de sus dates,6.142857143,6.875,6.125,7,5.375,6.875,6.25,5.375
422,1,416,1,26,2,6,7,Florida,31632.00,4,2,Fundraising for Non-Profits,7,2,8,9,9,9,10,2,4,7,5,9,8,6,6,7,9,QUE BUSCA ,30,25,20,10,10,5,QUE PIENSA DE SI MISMO,8,10,8,8,8,Matches no/si efectivos,2,4,Si saldrian con ellos otravez,1,5,Rating que obtuvieron de sus dates,7.833333333,6.5,7.333333333,7.5,5.833333333,8,6.833333333,6.5
423,1,416,1,30,2,1,1,Canada,0.00,4,1,Money Management,9,2,9,8,7,7,7,6,5,9,5,5,8,7,5,5,4,QUE BUSCA ,30,20,30,10,5,5,QUE PIENSA DE SI MISMO,7,7,9,8,9,Matches no/si efectivos,4,2,Si saldrian con ellos otravez,4,2,Rating que obtuvieron de sus dates,7.166666667,6.166666667,5.833333333,7.333333333,4.2,7.333333333,5.6,5
424,1,416,1,24,4,4,4,TN,0.00,6,3,Research,7,7,7,7,5,5,6,7,5,5,7,5,8,5,7,8,5,QUE BUSCA ,17,16,17,17,17,16,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,4,2,Si saldrian con ellos otravez,3,3,Rating que obtuvieron de sus dates,6.833333333,5.166666667,6,7.833333333,5.4,8,5.833333333,6.333333333
425,1,416,0,28,2,3,7,"New York, NY",106663.00,4,2,General Management,7,8,8,8,7,6,5,2,7,5,5,6,7,5,7,2,2,QUE BUSCA ,16,25,20,12,12,15,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,6,1,Si saldrian con ellos otravez,6,1,Rating que obtuvieron de sus dates,7.833333333,3.416666667,4.166666667,7.416666667,4.2,6.333333333,5,6
426,1,416,1,24,2,4,7,New Jersey,0.00,2,1,Lobbyist,7,2,7,8,6,4,3,2,6,5,3,7,6,6,6,4,2,QUE BUSCA ,25,7,35,20,8,5,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,5,1,Si saldrian con ellos otravez,5,1,Rating que obtuvieron de sus dates,7.833333333,3.5,4.833333333,6.666666667,3.5,4.166666667,3.833333333,3.5
427,1,416,0,28,2,1,1,California,84043.00,7,3,Energy,10,1,10,8,7,7,9,1,3,8,1,4,5,7,10,1,10,QUE BUSCA ,20,20,20,20,20,20,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,6,1,Si saldrian con ellos otravez,5,1,Rating que obtuvieron de sus dates,6.333333333,5.666666667,4.833333333,7,4.666666667,7.333333333,4.833333333,5.166666667
428,1,416,1,27,4,8,8,New York,35224.00,2,1,Management Consulting,6,5,5,9,6,7,6,5,6,7,5,6,7,5,7,7,3,QUE BUSCA ,60,10,10,10,10,0,QUE PIENSA DE SI MISMO,8,8,8,8,8,Matches no/si efectivos,4,2,Si saldrian con ellos otravez,2,4,Rating que obtuvieron de sus dates,8.666666667,6,6.833333333,8.333333333,6.666666667,7.5,7,6.5
429,1,416,1,27,2,1,1,"Pittsburgh, PA",36381.00,2,2,Investment Management,7,8,8,9,8,8,8,6,7,9,8,8,8,8,8,7,6,QUE BUSCA ,55,10,15,15,5,0,QUE PIENSA DE SI MISMO,6,9,9,9,9,Matches no/si efectivos,5,1,Si saldrian con ellos otravez,3,3,Rating que obtuvieron de sus dates,7.833333333,6.833333333,5.833333333,6.833333333,4,6.666666667,5.833333333,6.166666667
430,0,440,0,22,4,3,10,California,65498.00,6,2,Elementary school teacher,10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5,4,QUE BUSCA ,10,25,15,20,15,15,QUE PIENSA DE SI MISMO,5,8,5,9,8,Matches no/si efectivos,14,1,Si saldrian con ellos otravez,5,9,Rating que obtuvieron de sus dates,5.642857143,6.142857143,5.928571429,6.5,4.923076923,7.071428571,6.285714286,5.571428571
431,0,440,0,27,4,5,8,Southern California,0.00,7,3,Public School Principal,10,9,7,10,10,10,10,5,4,10,7,7,5,8,10,10,3,QUE BUSCA ,15,15,25,15,15,15,QUE PIENSA DE SI MISMO,8,10,9,8,10,Matches no/si efectivos,12,2,Si saldrian con ellos otravez,7,7,Rating que obtuvieron de sus dates,7.142857143,5.785714286,4.5,6.428571429,4.214285714,5.785714286,5.071428571,4.071428571
432,0,440,0,28,2,1,1,"Hastings-on-Hudson, NY",60000.00,6,3,Social Worker,2,2,2,10,10,10,7,1,6,6,4,9,8,8,7,5,5,QUE BUSCA ,15,30,30,10,10,5,QUE PIENSA DE SI MISMO,8,9,8,9,8,Matches no/si efectivos,8,6,Si saldrian con ellos otravez,7,7,Rating que obtuvieron de sus dates,5.785714286,6.571428571,6.5,7.5,5.538461538,7.785714286,6.5,5.785714286
433,0,440,0,30,6,3,3,Northern California,22669.00,6,3,Writer,3,3,8,8,8,8,8,1,6,7,5,7,8,5,5,5,3,QUE BUSCA ,20,20,20,20,10,10,QUE PIENSA DE SI MISMO,7,7,7,8,6,Matches no/si efectivos,12,2,Si saldrian con ellos otravez,8,6,Rating que obtuvieron de sus dates,5.928571429,5.142857143,6.714285714,6.785714286,5.071428571,6.928571429,5.642857143,5.071428571
434,0,440,0,27,2,2,2,Maryland,81266.00,4,2,Trade Specialist,4,2,9,6,3,3,3,2,7,2,6,2,2,4,7,8,4,QUE BUSCA ,30,15,15,30,0,10,QUE PIENSA DE SI MISMO,8,8,8,8,7,Matches no/si efectivos,13,1,Si saldrian con ellos otravez,3,11,Rating que obtuvieron de sus dates,5.642857143,7.142857143,6.357142857,7.071428571,5.230769231,7.428571429,6.5,5.214285714
435,0,440,0,22,1,1,1,New Jersey,0.00,7,2,Lawyer,5,5,6,9,8,8,3,2,9,9,1,8,7,9,9,10,10,QUE BUSCA ,25,5,20,25,15,10,QUE PIENSA DE SI MISMO,7,9,10,10,10,Matches no/si efectivos,11,3,Si saldrian con ellos otravez,10,4,Rating que obtuvieron de sus dates,6.642857143,5.642857143,6.571428571,6.214285714,4.538461538,5.928571429,5.714285714,4.928571429
436,0,440,0,23,2,9,1,California,0.00,6,1,Law,8,5,9,10,8,7,8,5,1,9,10,8,10,6,10,10,4,QUE BUSCA ,28,8,17,22,17,8,QUE PIENSA DE SI MISMO,8,8,8,10,8,Matches no/si efectivos,12,2,Si saldrian con ellos otravez,7,7,Rating que obtuvieron de sus dates,7.357142857,7.285714286,7.428571429,7,5.384615385,6.285714286,6.285714286,5.214285714
437,0,440,0,23,2,2,6,North Carolina,29746.00,4,1,Social Work,6,7,7,8,9,9,8,5,6,9,7,10,10,10,10,5,6,QUE BUSCA ,15,15,18,18,14,20,QUE PIENSA DE SI MISMO,5,9,8,9,8,Matches no/si efectivos,11,3,Si saldrian con ellos otravez,10,4,Rating que obtuvieron de sus dates,5.071428571,5.928571429,6,6.357142857,5.076923077,6.928571429,6,5.071428571
438,0,440,0,23,2,1,5,California,47556.00,4,1,Clinical Social Worker,3,1,8,9,5,5,8,4,7,6,5,7,9,10,9,8,3,QUE BUSCA ,14,15,16,17,18,20,QUE PIENSA DE SI MISMO,7,8,7,7,7,Matches no/si efectivos,12,2,Si saldrian con ellos otravez,4,10,Rating que obtuvieron de sus dates,6,6.5,6.642857143,6.923076923,5.25,7,6.642857143,5.857142857
439,0,440,0,29,2,1,5,Baltimore,42651.00,3,2,Bilingual Elementary School Teacher,8,4,8,9,8,9,6,1,7,9,6,4,9,9,9,6,6,QUE BUSCA ,20,10,50,5,10,5,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,11,3,Si saldrian con ellos otravez,5,9,Rating que obtuvieron de sus dates,5.5,7.428571429,6,6.928571429,4.5,5.928571429,6.428571429,4.857142857
440,1,430,0,21,2,8,2,"Milano, Italy",0.00,7,2,Lawyer,10,10,10,10,7,7,7,3,1,3,5,5,10,8,10,8,5,QUE BUSCA ,35,5,30,20,5,5,QUE PIENSA DE SI MISMO,10,10,10,10,10,Matches no/si efectivos,10,1,Si saldrian con ellos otravez,5,5,Rating que obtuvieron de sus dates,8.2,8.4,8.1,8.8,7.111111111,8,7.6,6.7
441,1,430,0,24,2,4,2,Boston,0.00,7,1,Corporate law,6,1,6,7,7,8,7,14,9,9,8,9,10,10,10,7,2,QUE BUSCA ,35,10,25,20,5,5,QUE PIENSA DE SI MISMO,8,7,9,8,8,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,5,5,Rating que obtuvieron de sus dates,7.4,6.6,7.4,7.4,6.555555556,7,6.3,6.333333333
442,1,430,0,25,2,1,1,poland,0.00,6,1,tax lawyer,7,1,7,5,1,1,7,1,8,6,1,1,5,3,5,2,1,QUE BUSCA ,40,10,0,45,0,5,QUE PIENSA DE SI MISMO,7,6,7,4,9,Matches no/si efectivos,6,4,Si saldrian con ellos otravez,6,4,Rating que obtuvieron de sus dates,7.7,6.1,6.1,8.1,4.5,7.9,6.3,6.1
443,1,430,0,27,3,1,3,New York,27794.00,6,2,Economic Policy Advisor on Latin America,9,5,7,8,5,5,5,3,7,6,1,6,7,8,8,4,5,QUE BUSCA ,30,25,10,20,0,15,QUE PIENSA DE SI MISMO,7,7,7,8,8,Matches no/si efectivos,10,1,Si saldrian con ellos otravez,8,2,Rating que obtuvieron de sus dates,8.2,6.3,7.666666667,8.3,5.75,7.8,6.8,6.1
444,1,430,0,26,2,5,1,"Los Angeles, CA",41737.00,4,2,Media Management,8,8,9,2,6,8,6,2,5,2,7,1,10,3,5,5,6,QUE BUSCA ,50,10,10,30,0,0,QUE PIENSA DE SI MISMO,8,7,8,8,7,Matches no/si efectivos,10,1,Si saldrian con ellos otravez,5,5,Rating que obtuvieron de sus dates,8.3,8.4,7.5,7.9,5.2,7,7.1,5.7
445,1,430,0,30,2,1,1,"Burlington, Vermont",90225.00,5,2,Energy Management,9,6,8,8,5,3,9,5,9,10,5,4,10,8,9,5,1,QUE BUSCA ,40,12,18,12,6,12,QUE PIENSA DE SI MISMO,8,10,10,7,6,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,6,4,Rating que obtuvieron de sus dates,7.5,6.5,6.9,7.6,5.75,7,6.1,5.3
446,1,430,0,28,3,2,2,"Bogota, Colombia",0.00,4,3,Finance,9,2,9,8,8,7,6,3,6,6,5,6,6,5,8,3,3,QUE BUSCA ,30,20,25,15,10,0,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,6,4,Si saldrian con ellos otravez,5,5,Rating que obtuvieron de sus dates,7,6.1,5.8,7.8,5.444444444,7.3,6.7,6.3
447,1,430,0,26,4,1,1,India,0.00,7,2,Public Finance,7,5,6,8,3,2,6,2,5,6,3,4,8,4,9,2,4,QUE BUSCA ,15,30,25,20,0,10,QUE PIENSA DE SI MISMO,5,6,6,7,6,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,7,3,Rating que obtuvieron de sus dates,8.4,7.1,6.9,8.4,4.8,8.1,6.9,6.2
448,1,430,0,22,2,1,1,New York City,55080.00,2,1,Business Management,3,2,4,9,8,9,3,5,9,7,3,6,7,6,10,6,5,QUE BUSCA ,25,15,25,25,5,5,QUE PIENSA DE SI MISMO,9,9,9,9,9,Matches no/si efectivos,5,5,Si saldrian con ellos otravez,4,6,Rating que obtuvieron de sus dates,8.6,7.9,7.9,7.9,5.5,6.3,6.3,5.2
449,1,430,0,23,6,7,1,New York,52280.00,3,1,Business/Law,8,2,6,8,7,5,5,3,1,9,7,6,9,2,6,4,1,QUE BUSCA ,55,2,1,40,1,1,QUE PIENSA DE SI MISMO,7,10,10,10,8,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,7,3,Rating que obtuvieron de sus dates,8.3,7.7,7.7,8.3,6.111111111,7.4,6.2,5.7
450,1,430,0,25,2,3,7,Singapore,0.00,6,2,Diplomat,7,3,9,9,9,9,9,9,3,5,7,9,10,9,10,5,10,QUE BUSCA ,50,5,5,5,5,30,QUE PIENSA DE SI MISMO,7,8,9,7,9,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,7,3,Rating que obtuvieron de sus dates,7.9,5.6,7,8.2,5.5,7.3,5.8,5
451,1,430,0,30,4,3,1,"Asia, Singapore",0.00,3,3,banking,3,3,2,4,4,3,3,4,3,6,7,5,7,7,8,6,6,QUE BUSCA ,20,40,5,20,5,10,QUE PIENSA DE SI MISMO,4,5,4,3,4,Matches no/si efectivos,10,1,Si saldrian con ellos otravez,10,1,Rating que obtuvieron de sus dates,8.1,2.8,4.8,8.3,4.666666667,7.3,4.7,5.2
452,1,430,0,29,4,7,1,Singapore,0.00,5,3,private equity,9,6,8,7,8,7,8,7,9,8,7,8,9,8,10,5,3,QUE BUSCA ,35,30,25,5,0,5,QUE PIENSA DE SI MISMO,7,9,10,7,8,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,9,1,Rating que obtuvieron de sus dates,8,4.2,7,8.2,4,7.2,5.1,6.1
453,1,430,0,27,4,4,3,"Shanghai, China",0.00,6,5,lawyer,6,3,5,6,6,5,6,5,3,6,6,4,7,6,5,4,1,QUE BUSCA ,30,30,30,5,0,5,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,9,1,Rating que obtuvieron de sus dates,8,3.7,4.888888889,8.666666667,3.777777778,8.555555556,4.7,4.9
454,0,460,0,27,2,3,3,California,56056.00,7,3,Teacher,5,8,5,9,9,9,7,1,4,9,4,9,9,8,8,4,9,QUE BUSCA ,10,20,20,20,10,20,QUE PIENSA DE SI MISMO,8,9,9,9,6,Matches no/si efectivos,6,1,Si saldrian con ellos otravez,3,3,Rating que obtuvieron de sus dates,6.2,5.833333333,6.6,6.6,5.166666667,7.4,6.4,6.6
455,0,460,0,24,4,5,5,India,0.00,6,2,Research,3,5,3,10,10,7,7,1,8,10,4,8,9,8,9,9,7,QUE BUSCA ,10,25,20,16,20,9,QUE PIENSA DE SI MISMO,8,9,8,8,8,Matches no/si efectivos,6,1,Si saldrian con ellos otravez,5,1,Rating que obtuvieron de sus dates,6.6,5.5,6.6,7.6,6.666666667,7.833333333,6.666666667,6.6
456,0,460,1,29,4,3,2,NJ,0.00,6,1,Health care finance,1,1,8,8,7,7,6,2,8,8,4,7,7,6,6,8,8,QUE BUSCA ,25,20,15,10,15,15,QUE PIENSA DE SI MISMO,8,8,7,6,7,Matches no/si efectivos,5,1,Si saldrian con ellos otravez,1,6,Rating que obtuvieron de sus dates,7.5,7.5,7,6.8,6.4,6.2,6.833333333,5
457,0,460,0,55,4,1,1,"Santa Barbara, California",60835.00,7,3,writer,1,2,1,8,9,9,10,1,1,10,4,7,3,10,8,1,1,QUE BUSCA ,25,0,25,25,0,25,QUE PIENSA DE SI MISMO,6,2,7,7,3,Matches no/si efectivos,6,1,Si saldrian con ellos otravez,5,1,Rating que obtuvieron de sus dates,5,5.666666667,7.2,6.8,5.6,7.666666667,6.833333333,5
458,0,460,0,29,4,9,8,Hong Kong,0.00,4,1,Entrepreneurship,9,1,6,10,8,6,9,3,6,9,7,8,8,4,1,10,9,QUE BUSCA ,50,5,25,20,0,0,QUE PIENSA DE SI MISMO,9,9,10,10,10,Matches no/si efectivos,4,2,Si saldrian con ellos otravez,4,2,Rating que obtuvieron de sus dates,8,6.166666667,6.6,7.2,5.833333333,6.4,6.333333333,4.4
459,0,460,0,26,4,6,1,New York City,62829.00,5,3,Fixed Income Sales & Trading,1,3,1,9,8,9,1,1,6,4,6,8,8,8,8,8,1,QUE BUSCA ,30,10,10,30,10,10,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,6,1,Si saldrian con ellos otravez,2,4,Rating que obtuvieron de sus dates,7.5,7.166666667,6.6,7,5.5,6.8,7,4.8
460,1,454,0,33,2,2,1,"Cincinnati, Ohio",30038.00,4,2,Professor,9,7,10,10,10,10,8,1,7,9,10,6,9,10,10,1,5,QUE BUSCA ,20,10,20,15,15,20,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,5,1,Si saldrian con ellos otravez,1,5,Rating que obtuvieron de sus dates,6.666666667,7,6.833333333,8,6.166666667,8.5,6.666666667,4.333333333
461,1,454,0,27,6,2,2,india,0.00,7,4,"physician, informaticist",9,8,9,9,7,7,9,8,6,2,2,7,6,6,6,4,4,QUE BUSCA ,40,20,20,10,10,0,QUE PIENSA DE SI MISMO,6,7,7,7,6,Matches no/si efectivos,6,1,Si saldrian con ellos otravez,5,1,Rating que obtuvieron de sus dates,7,4.5,5.666666667,7,4,6.833333333,4.166666667,4
462,1,454,0,33,4,1,5,"Cambridge, MA",0.00,6,6,"Professor, or Engineer",8,7,5,2,6,6,1,2,7,3,8,5,7,6,9,2,2,QUE BUSCA ,30,30,10,10,0,20,QUE PIENSA DE SI MISMO,4,8,7,6,2,Matches no/si efectivos,5,1,Si saldrian con ellos otravez,5,1,Rating que obtuvieron de sus dates,6.833333333,4.166666667,4.666666667,6.833333333,3.666666667,8.333333333,4.166666667,4
463,1,454,0,23,4,3,2,China,0.00,7,1,Not sure yet,5,4,7,5,4,3,3,5,4,5,4,4,4,4,7,3,1,QUE BUSCA ,15,15,15,15,15,25,QUE PIENSA DE SI MISMO,5,5,5,5,5,Matches no/si efectivos,6,1,Si saldrian con ellos otravez,3,3,Rating que obtuvieron de sus dates,7.333333333,5.833333333,6.5,8.333333333,4.333333333,8.333333333,6.5,4.5
464,1,454,0,33,4,1,1,Singapore,0.00,3,1,Management Consulting,10,9,6,7,3,3,5,5,9,3,4,6,7,7,7,2,1,QUE BUSCA ,15,15,15,20,15,20,QUE PIENSA DE SI MISMO,5,9,9,9,10,Matches no/si efectivos,5,1,Si saldrian con ellos otravez,2,4,Rating que obtuvieron de sus dates,7.666666667,7,7.833333333,8.166666667,5.333333333,7.166666667,7,5.166666667
465,1,454,0,23,2,1,3,new york,16767.00,7,3,playing music,4,8,1,3,8,8,4,1,4,9,2,1,3,10,10,1,1,QUE BUSCA ,20,20,20,20,20,0,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,6,1,Si saldrian con ellos otravez,5,1,Rating que obtuvieron de sus dates,3.8,5.166666667,6,5.5,3.5,6.166666667,4.8,2.833333333
466,0,481,0,24,2,1,1,Texas/London,42967.00,7,1,unknown,4,2,9,8,5,6,4,3,2,8,5,5,7,6,8,4,2,QUE BUSCA ,10,20,20,15,20,15,QUE PIENSA DE SI MISMO,7,7,7,7,7,Matches no/si efectivos,15,1,Si saldrian con ellos otravez,5,10,Rating que obtuvieron de sus dates,7.285714286,7.733333333,7.733333333,8.066666667,6,7.6,7.066666667,5.266666667
467,0,481,1,24,2,7,4,"CT, FL, TN",21488.00,2,1,"Consulting, later Arts or Non-Profit",8,4,9,9,9,9,8,5,8,9,8,9,9,9,9,9,9,QUE BUSCA ,20,20,20,20,20,0,QUE PIENSA DE SI MISMO,7,7,7,7,7,Matches no/si efectivos,8,7,Si saldrian con ellos otravez,5,10,Rating que obtuvieron de sus dates,7.923076923,8.333333333,7.2,7.8,6.214285714,7.4,6.666666667,5
468,0,481,0,25,6,5,2,Detroit suburbs,89977.00,6,3,Professor; Human Rights Director,8,3,7,7,7,8,8,2,6,8,7,5,9,9,9,7,6,QUE BUSCA ,15,25,15,15,15,15,QUE PIENSA DE SI MISMO,8,9,8,7,8,Matches no/si efectivos,12,3,Si saldrian con ellos otravez,5,10,Rating que obtuvieron de sus dates,8,8.333333333,7.8,8.466666667,6.5,7.933333333,7.857142857,6.285714286
469,0,481,0,25,4,1,1,"Tokyo, Japan",0.00,3,1,Work at the UN,10,7,7,7,7,7,3,3,4,7,9,7,7,7,8,6,9,QUE BUSCA ,20,10,20,20,10,20,QUE PIENSA DE SI MISMO,8,8,6,7,4,Matches no/si efectivos,10,5,Si saldrian con ellos otravez,4,11,Rating que obtuvieron de sus dates,6.928571429,8,7.266666667,7.866666667,6.428571429,7.666666667,7.2,5.333333333
470,0,481,0,29,4,1,1,south carolina,18619.00,4,2,medicine,1,1,1,10,10,10,2,1,3,10,5,10,10,6,6,10,1,QUE BUSCA ,10,20,25,25,10,10,QUE PIENSA DE SI MISMO,4,7,7,7,9,Matches no/si efectivos,10,5,Si saldrian con ellos otravez,4,11,Rating que obtuvieron de sus dates,8.2,8.066666667,7.533333333,8.533333333,6.333333333,7.4,7.285714286,5.071428571
471,0,481,0,30,4,8,8,"California, New Jersey",0.00,5,3,physician,3,4,6,10,7,7,5,2,9,7,8,6,8,6,6,10,4,QUE BUSCA ,15,15,25,10,15,20,QUE PIENSA DE SI MISMO,7,8,8,8,8,Matches no/si efectivos,14,1,Si saldrian con ellos otravez,8,7,Rating que obtuvieron de sus dates,7.642857143,6.266666667,6.866666667,7.933333333,5.785714286,7.466666667,6.2,4.933333333
472,0,481,0,25,3,1,3,California,0.00,4,2,Urban Planner,10,6,7,9,9,8,9,1,7,8,1,10,10,10,10,5,9,QUE BUSCA ,10,25,25,20,10,10,QUE PIENSA DE SI MISMO,8,7,7,10,9,Matches no/si efectivos,13,2,Si saldrian con ellos otravez,8,7,Rating que obtuvieron de sus dates,7,7.2,6.666666667,7.933333333,5.571428571,7.666666667,6.333333333,5.066666667
473,0,481,0,34,4,1,1,Belgium,0.00,6,4,Clinic Trial,7,5,5,8,8,8,8,6,6,9,8,8,9,9,9,7,7,QUE BUSCA ,15,20,20,15,15,15,QUE PIENSA DE SI MISMO,8,8,8,7,7,Matches no/si efectivos,14,1,Si saldrian con ellos otravez,14,1,Rating que obtuvieron de sus dates,6.666666667,5.933333333,5.133333333,7.6,5.6,7.266666667,5.666666667,4
474,0,481,0,30,1,1,1,alabama,22161.00,6,5,scientist,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,QUE BUSCA ,15,20,10,30,5,20,QUE PIENSA DE SI MISMO,9,9,9,10,6,Matches no/si efectivos,11,4,Si saldrian con ellos otravez,3,12,Rating que obtuvieron de sus dates,7.785714286,7.933333333,8.133333333,8.2,7,7.933333333,7.933333333,6.866666667
475,0,481,0,27,3,1,2,San Francisco,82734.00,6,2,International Development,1,1,6,10,6,5,2,0,5,4,4,9,8,3,5,6,9,QUE BUSCA ,10,15,30,10,15,20,QUE PIENSA DE SI MISMO,6,9,8,8,8,Matches no/si efectivos,13,2,Si saldrian con ellos otravez,7,8,Rating que obtuvieron de sus dates,6.928571429,7.066666667,7.6,7.733333333,6,7.666666667,6.666666667,6
476,0,481,0,25,2,1,3,California,40163.00,5,2,International Development,4,1,7,9,5,5,4,1,7,3,3,3,3,3,7,6,3,QUE BUSCA ,20,20,20,15,15,10,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,13,2,Si saldrian con ellos otravez,10,5,Rating que obtuvieron de sus dates,6.846153846,7.142857143,7.142857143,7.285714286,5.083333333,8.214285714,6.571428571,4.928571429
477,0,481,0,27,3,5,7,Canada,0.00,4,2,Engineer,9,6,7,8,6,8,8,4,7,7,4,7,8,7,7,6,4,QUE BUSCA ,16,19,16,17,15,17,QUE PIENSA DE SI MISMO,6,8,6,6,7,Matches no/si efectivos,15,1,Si saldrian con ellos otravez,11,4,Rating que obtuvieron de sus dates,6.538461538,6.333333333,6.466666667,8.2,5.785714286,7.866666667,6.8,4.8
478,0,481,0,26,2,4,4,Washington DC,0.00,4,1,Finance/Economics,9,7,9,7,7,9,9,3,3,8,4,7,9,8,9,4,6,QUE BUSCA ,20,20,10,20,10,20,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,13,2,Si saldrian con ellos otravez,4,11,Rating que obtuvieron de sus dates,8.4,8,7.733333333,8.266666667,7.357142857,7.8,7.8,6.133333333
479,0,481,0,27,2,3,3,colorado,46185.00,4,3,Banking,10,7,10,9,8,7,9,1,7,5,4,7,7,7,7,7,7,QUE BUSCA ,15,15,20,20,15,15,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,15,1,Si saldrian con ellos otravez,7,8,Rating que obtuvieron de sus dates,7.571428571,7.666666667,6.733333333,8.133333333,5.933333333,7.466666667,7,5.266666667
